Star_na             [Fe/H]        Vphi        err_vphi      [C/Fe]

51909-0270-634     -2.01000     -7.77000      61.9500     0.637000
51941-0290-422     -2.47900      157.350      58.5900      2.41700
51986-0294-263     -2.05600      267.570      125.890     0.343000
51942-0301-598     -2.25000      282.720      64.7900     0.247000
51615-0303-342     -2.10700     -107.360      121.770     0.222000
51957-0304-200     -2.47000     -75.5000      133.830     0.440000
51957-0304-202     -2.03900      197.480      87.2800     0.246000
51994-0309-410     -2.21200      53.8400      56.6200     0.457000
51665-0311-288     -2.38500     0.520000      105.430     0.360000
51666-0324-148     -2.21700     -32.9000      69.5800     0.488000
52282-0328-414     -2.49900      48.3400      83.9900     0.917000
52368-0331-628     -2.41600     -219.300      116.350     0.752000
52367-0332-416     -2.31300      27.7300      79.8200      1.77900
51694-0338-241     -2.05800      121.100      56.1400     0.487000
51692-0339-301     -2.32500      58.4500      87.3900     0.701000
51696-0348-221     -2.03300     -73.8100      95.1000      1.54300
51699-0349-254     -2.17500      17.2200      72.0900     0.843000
51821-0384-552     -2.07300     -41.9400      74.2100     0.584000
51788-0386-045     -2.02500     -128.600      110.230     0.156000
51794-0393-447     -2.36100      106.270      65.4000     0.677000
51794-0397-379     -2.02500     -54.0300      91.1700     0.275000
51820-0400-247     -2.71700      42.6700      70.7500     0.629000
51793-0402-389     -2.08100     -25.9400      72.6500     0.449000
51816-0405-606     -2.00200      192.670      75.4500     0.302000
51821-0408-590     -2.25500      63.6600      133.940     0.340000
51879-0419-029     -2.57600     -9.93000      61.3300     0.960000
51871-0420-256     -2.03400     -307.560      140.960      2.17300
51882-0426-281     -2.08500      18.5300      48.6300     0.145000
51873-0433-044     -2.44800      172.470      124.830     0.584000
51877-0439-366     -2.25400     -107.490      102.180    -0.206000
51877-0447-395     -2.30700     -2.29000      82.5200     0.363000
51911-0452-453     -2.39800      89.9200      69.6600     0.868000
51915-0453-588     -2.13600     -90.5800      118.440     0.272000
51908-0454-510     -2.23100     -36.7100      58.6600     0.857000
51924-0459-449     -2.20000      43.9100      124.520     0.611000
51908-0463-263     -2.12100     -229.680      105.250      1.87100
51924-0471-613     -2.82900     -142.560      66.8700      2.18800
51965-0475-087     -2.00800      184.310      97.8300     0.311000
51965-0475-638     -2.08300      70.8600      28.5800     0.376000
51955-0492-639     -2.18500      143.610      66.3100     0.976000
51957-0493-110     -2.11300     -157.880      147.560   -0.0100000
52235-0501-214     -2.05600     -75.6500      64.1400     0.492000
52353-0507-006     -2.05400     -174.900      92.3600      2.28300
52312-0526-377     -2.03500      23.4200      67.0100     0.603000
51997-0534-267     -2.30000      35.3400      60.3200     0.187000
51999-0535-535     -2.32600      45.7500      103.070      2.07600
51993-0542-633     -2.08200     -115.850      88.5400     0.302000
51981-0549-381     -2.09100      11.2300      41.8500     0.173000
52266-0555-013     -2.00600     -110.440      93.8400     0.321000
51991-0556-415     -2.23900      24.6800      46.7300     0.355000
52295-0561-585     -2.21200      131.580      33.5400     0.285000
52325-0576-072     -2.39500     -76.5800      67.9100     0.438000
52368-0580-268     -2.06400     -97.8700      95.9900     0.524000
52045-0582-625     -2.59200      97.2100      34.7500      1.23400
52027-0585-068     -2.06700      9.96000      53.1900     0.798000
52059-0597-072     -2.08400     -227.430      62.6800     0.762000
52316-0601-356     -2.12800      23.0000      87.9200     0.589000
52316-0601-376     -2.01000     -31.2700      67.6400     0.485000
52079-0612-377     -2.08600     -156.470      119.440     0.336000
52345-0613-510     -2.07500      10.9600      66.1900      1.67600
52054-0622-097     -2.80100     -14.5500      50.7400      2.91000
52081-0638-214     -2.30100      256.120      167.600      1.76600
52149-0644-479     -2.09200      18.4400      95.6800      1.23700
52138-0652-629     -2.07900      114.190      99.1800     0.764000
52146-0654-011     -2.37600     -145.570      68.5300      2.27400
52199-0659-232     -2.19700      179.150      103.480     0.633000
52149-0666-415     -2.14200     -145.450      89.1100     0.629000
52178-0676-380     -2.06800     -65.0100      54.7800     0.938000
52524-0683-122     -2.17000      37.6100      12.1000    0.0600000
52523-0684-449     -2.07300      62.7500      113.220      1.24900
52201-0692-028     -2.14600      18.2900      53.0200     0.288000
52202-0695-414     -2.40200      6.31000      76.1600     0.818000
52209-0696-172     -2.16400      128.410      39.7600    0.0700000
52226-0697-493     -2.08100     -50.1300      120.460     0.154000
52199-0700-142     -2.68900      125.590      57.5900      1.08500
52203-0716-259     -2.01200     -130.650      90.9200     0.439000
52206-0718-192     -2.04900      184.420      99.5500     0.325000
52224-0722-407     -2.08400      7.83000      86.2600      1.33400
52254-0724-494     -2.18300     -254.320      92.8400      1.58000
52226-0726-412     -2.04400     -108.140      95.8900     0.520000
52466-0730-167     -2.53700     -233.750      35.9100      2.40400
52261-0741-234     -2.19100     -121.100      89.7000      1.78400
52233-0748-407     -2.06600      226.300      85.1300     0.311000
52247-0766-133     -2.22500      104.950      55.2200      1.85000
52252-0767-238     -2.22900      81.1200      37.6300    0.0850000
54530-0769-401     -2.10800    -0.700000      56.8200      1.69200
52282-0770-623     -2.56100     -147.970      71.1800     0.297000
52286-0774-171     -2.06500      47.8600      64.0100    0.0900000
52325-0783-039     -2.22200     -16.7600      58.8600     0.648000
52339-0785-390     -2.08300     -11.9300      62.5900     0.428000
52319-0786-543     -2.12000      172.970      83.0600     0.541000
52376-0794-414     -2.31400      18.9900      67.8600     0.676000
52401-0796-021     -2.71900     -133.170      95.5100      2.63600
52354-0813-446     -2.15400     -17.1200      32.2800     0.404000
52379-0816-525     -2.44800      119.540      49.0600      1.92800
52409-0819-237     -2.40400      2.84000      51.3800      1.97700
52409-0819-573     -2.08200     -148.730      55.7700     0.592000
52438-0820-342     -2.68900      3.93000      74.7200      2.78200
52312-0827-109     -2.18500     -103.690      122.830     0.248000
52316-0834-114     -2.41300     -3.64000      62.4200      2.16300
52326-0835-023     -2.17700     -49.9800      117.450     0.427000
52374-0840-415     -2.11000     -31.0700      61.9300     0.329000
52407-0846-547     -2.31200     -164.620      80.7500    0.0620000
52407-0846-638     -2.19800      82.7100      109.270     0.633000
52669-0848-529     -2.10900      95.5000      57.2400      1.85900
52314-0857-377     -2.26900      65.9800      43.8200      1.55800
52338-0874-054     -2.36300      127.270      107.110     0.588000
52669-0876-300     -2.19100     -167.180      99.1500     0.494000
52353-0877-247     -2.07100      93.1000      71.5600     0.523000
52353-0877-284     -2.36100      138.640      89.6300     0.549000
52367-0880-066     -2.31600     -133.320      92.7200      1.77200
52367-0880-099     -2.43300     -42.9600      91.3600     0.503000
52379-0885-034     -2.06800     -290.070      108.210      1.31800
52379-0885-078     -2.31900     -46.1200      69.7100     0.403000
52373-0907-637     -2.29300      91.3800      117.710     0.435000
52373-0908-039     -2.65500     -49.1700      82.0200      1.14200
52379-0909-493     -2.37900     -401.750      152.120      2.07200
52433-0913-051     -2.10200     -338.530      117.590     0.587000
